company_id,subclassification_code,classification_code,subclassification_name
0001,22    ,000023,CORBATAS Y ACCESORIOS HOMBRE
0001,22    ,000024,CORBATAS Y ACCESORIOS HOMBRE
0001,22    ,000025,CORBATAS Y ACCESORIOS HOMBRE
0001,22    ,000026,CORBATAS Y ACCESORIOS HOMBRE
0001,22    ,000027,CORBATAS Y ACCESORIOS HOMBRE
0001,22    ,000028,CORBATAS Y ACCESORIOS HOMBRE
0001,22    ,000031,CORBATAS Y ACCESORIOS HOMBRE
0001,22    ,000032,CORBATAS Y ACCESORIOS HOMBRE
0001,22    ,000033,CORBATAS Y ACCESORIOS HOMBRE
0001,22    ,000034,CORBATAS Y ACCESORIOS HOMBRE
0001,22    ,000035,CORBATAS Y ACCESORIOS HOMBRE
0001,22    ,000036,CORBATAS Y ACCESORIOS HOMBRE
0001,22    ,000037,CORBATAS Y ACCESORIOS HOMBRE
0001,22    ,000038,CORBATAS Y ACCESORIOS HOMBRE
0001,22    ,000039,CORBATAS Y ACCESORIOS HOMBRE
0001,22    ,000040,CORBATAS Y ACCESORIOS HOMBRE
0001,22    ,000041,CORBATAS Y ACCESORIOS HOMBRE
0001,22    ,000042,CORBATAS Y ACCESORIOS HOMBRE
0001,23    ,000022,PERFUMES DE HOMBRE
0001,23    ,000023,PERFUMES DE HOMBRE
0001,23    ,000024,PERFUMES DE HOMBRE
0001,23    ,000025,PERFUMES DE HOMBRE
0001,23    ,000026,PERFUMES DE HOMBRE
0001,23    ,000027,PERFUMES DE HOMBRE
0001,23    ,000028,PERFUMES DE HOMBRE
0001,23    ,000031,PERFUMES DE HOMBRE
0001,23    ,000032,PERFUMES DE HOMBRE
0001,23    ,000033,PERFUMES DE HOMBRE
0001,23    ,000034,PERFUMES DE HOMBRE
0001,23    ,000035,PERFUMES DE HOMBRE
0001,23    ,000036,PERFUMES DE HOMBRE
0001,23    ,000037,PERFUMES DE HOMBRE
0001,23    ,000038,PERFUMES DE HOMBRE
0001,23    ,000039,PERFUMES DE HOMBRE
0001,23    ,000040,PERFUMES DE HOMBRE
0001,23    ,000041,PERFUMES DE HOMBRE
0001,23    ,000042,PERFUMES DE HOMBRE
0001,24    ,000022,PERFUMES DE MUJER
0001,24    ,000023,PERFUMES DE MUJER
0001,24    ,000024,PERFUMES DE MUJER
0001,24    ,000025,PERFUMES DE MUJER
0001,24    ,000026,PERFUMES DE MUJER
0001,24    ,000027,PERFUMES DE MUJER
0001,24    ,000028,PERFUMES DE MUJER
0001,24    ,000031,PERFUMES DE MUJER
0001,24    ,000032,PERFUMES DE MUJER
0001,24    ,000033,PERFUMES DE MUJER
0001,24    ,000034,PERFUMES DE MUJER
0001,24    ,000035,PERFUMES DE MUJER
0001,24    ,000036,PERFUMES DE MUJER
0001,24    ,000037,PERFUMES DE MUJER
0001,24    ,000038,PERFUMES DE MUJER
0001,24    ,000039,PERFUMES DE MUJER
0001,24    ,000040,PERFUMES DE MUJER
0001,24    ,000041,PERFUMES DE MUJER
0001,24    ,000042,PERFUMES DE MUJER
0001,25    ,000022,CARTERAS DE HOMBRE
0001,25    ,000023,CARTERAS DE HOMBRE
0001,25    ,000024,CARTERAS DE HOMBRE
0001,25    ,000025,CARTERAS DE HOMBRE
0001,25    ,000026,CARTERAS DE HOMBRE
0001,25    ,000027,CARTERAS DE HOMBRE
0001,25    ,000028,CARTERAS DE HOMBRE
0001,25    ,000031,CARTERAS DE HOMBRE
0001,25    ,000032,CARTERAS DE HOMBRE
0001,25    ,000033,CARTERAS DE HOMBRE
0001,25    ,000034,CARTERAS DE HOMBRE
0001,25    ,000035,CARTERAS DE HOMBRE
0001,25    ,000036,CARTERAS DE HOMBRE
0001,25    ,000037,CARTERAS DE HOMBRE
0001,25    ,000038,CARTERAS DE HOMBRE
0001,25    ,000039,CARTERAS DE HOMBRE
0001,25    ,000040,CARTERAS DE HOMBRE
0001,25    ,000041,CARTERAS DE HOMBRE
0001,25    ,000042,CARTERAS DE HOMBRE
0001,26    ,000022,CARTERAS DE MUJER
0001,26    ,000023,CARTERAS DE MUJER
0001,26    ,000024,CARTERAS DE MUJER
0001,26    ,000025,CARTERAS DE MUJER
0001,26    ,000026,CARTERAS DE MUJER
0001,26    ,000027,CARTERAS DE MUJER
0001,26    ,000028,CARTERAS DE MUJER
0001,26    ,000031,CARTERAS DE MUJER
0001,26    ,000032,CARTERAS DE MUJER
0001,26    ,000033,CARTERAS DE MUJER
0001,26    ,000034,CARTERAS DE MUJER
0001,26    ,000035,CARTERAS DE MUJER
0001,26    ,000036,CARTERAS DE MUJER
0001,26    ,000037,CARTERAS DE MUJER
0001,26    ,000038,CARTERAS DE MUJER
0001,26    ,000039,CARTERAS DE MUJER
0001,26    ,000040,CARTERAS DE MUJER
0001,26    ,000041,CARTERAS DE MUJER
0001,26    ,000042,CARTERAS DE MUJER
0001,27    ,000022,ACCESORIOS VARIOS MUJER
0001,27    ,000023,ACCESORIOS VARIOS MUJER
0001,27    ,000024,ACCESORIOS VARIOS MUJER
0001,27    ,000025,ACCESORIOS VARIOS MUJER
0001,27    ,000026,ACCESORIOS VARIOS MUJER
0001,27    ,000027,ACCESORIOS VARIOS MUJER
0001,27    ,000028,ACCESORIOS VARIOS MUJER
0001,27    ,000031,ACCESORIOS VARIOS MUJER
0001,27    ,000032,ACCESORIOS VARIOS MUJER
0001,27    ,000033,ACCESORIOS VARIOS MUJER
0001,27    ,000034,ACCESORIOS VARIOS MUJER
0001,27    ,000035,ACCESORIOS VARIOS MUJER
0001,27    ,000036,ACCESORIOS VARIOS MUJER
0001,27    ,000037,ACCESORIOS VARIOS MUJER
0001,27    ,000038,ACCESORIOS VARIOS MUJER
0001,27    ,000039,ACCESORIOS VARIOS MUJER
0001,27    ,000040,ACCESORIOS VARIOS MUJER
0001,27    ,000041,ACCESORIOS VARIOS MUJER
0001,27    ,000042,ACCESORIOS VARIOS MUJER
0001,28    ,000022,COSMETICOS
0001,28    ,000023,COSMETICOS
0001,28    ,000024,COSMETICOS
0001,28    ,000025,COSMETICOS
0001,28    ,000026,COSMETICOS
0001,28    ,000027,COSMETICOS
0001,28    ,000028,COSMETICOS
0001,28    ,000031,COSMETICOS
0001,28    ,000032,COSMETICOS
0001,28    ,000033,COSMETICOS
0001,28    ,000034,COSMETICOS
0001,28    ,000035,COSMETICOS
0001,28    ,000036,COSMETICOS
0001,28    ,000037,COSMETICOS
0001,28    ,000038,COSMETICOS
0001,28    ,000039,COSMETICOS
0001,28    ,000040,COSMETICOS
0001,28    ,000041,COSMETICOS
0001,28    ,000042,COSMETICOS
0001,29    ,000022,RELOJES
0001,29    ,000023,RELOJES
0001,29    ,000024,RELOJES
0001,29    ,000025,RELOJES
0001,29    ,000026,RELOJES
0001,29    ,000027,RELOJES
0001,29    ,000028,RELOJES
0001,29    ,000031,RELOJES
0001,29    ,000032,RELOJES
0001,29    ,000033,RELOJES
0001,29    ,000034,RELOJES
0001,29    ,000035,RELOJES
0001,29    ,000036,RELOJES
0001,29    ,000037,RELOJES
0001,29    ,000038,RELOJES
0001,29    ,000039,RELOJES
0001,29    ,000040,RELOJES
0001,29    ,000041,RELOJES
0001,29    ,000042,RELOJES
0001,30    ,000022,LENTES
0001,30    ,000023,LENTES
0001,30    ,000024,LENTES
0001,30    ,000025,LENTES
0001,30    ,000026,LENTES
0001,30    ,000027,LENTES
0001,30    ,000028,LENTES
0001,30    ,000031,LENTES
0001,30    ,000032,LENTES
0001,30    ,000033,LENTES
0001,30    ,000034,LENTES
0001,30    ,000035,LENTES
0001,30    ,000036,LENTES
0001,30    ,000037,LENTES
0001,30    ,000038,LENTES
0001,30    ,000039,LENTES
0001,30    ,000040,LENTES
0001,30    ,000041,LENTES
0001,30    ,000042,LENTES
0001,31    ,000022,TRAJES DE BAÃ‘O HOMBRE
0001,31    ,000023,TRAJES DE BAÃ‘O HOMBRE
0001,31    ,000024,TRAJES DE BAÃ‘O HOMBRE
0001,31    ,000025,TRAJES DE BAÃ‘O HOMBRE
0001,31    ,000026,TRAJES DE BAÃ‘O HOMBRE
0001,31    ,000027,TRAJES DE BAÃ‘O HOMBRE
0001,31    ,000028,TRAJES DE BAÃ‘O HOMBRE
0001,31    ,000031,TRAJES DE BAÃ‘O HOMBRE
0001,31    ,000032,TRAJES DE BAÃ‘O HOMBRE
0001,31    ,000033,TRAJES DE BAÃ‘O HOMBRE
0001,31    ,000034,TRAJES DE BAÃ‘O HOMBRE
0001,31    ,000035,TRAJES DE BAÃ‘O HOMBRE
0001,31    ,000036,TRAJES DE BAÃ‘O HOMBRE
0001,31    ,000037,TRAJES DE BAÃ‘O HOMBRE
0001,31    ,000038,TRAJES DE BAÃ‘O HOMBRE
0001,31    ,000039,TRAJES DE BAÃ‘O HOMBRE
0001,31    ,000040,TRAJES DE BAÃ‘O HOMBRE
0001,31    ,000041,TRAJES DE BAÃ‘O HOMBRE
0001,31    ,000042,TRAJES DE BAÃ‘O HOMBRE
0001,32    ,000022,TRAJES DE BAÃ‘O MUJER
0001,32    ,000023,TRAJES DE BAÃ‘O MUJER
0001,32    ,000024,TRAJES DE BAÃ‘O MUJER
0001,32    ,000025,TRAJES DE BAÃ‘O MUJER
0001,32    ,000026,TRAJES DE BAÃ‘O MUJER
0001,32    ,000027,TRAJES DE BAÃ‘O MUJER
0001,32    ,000028,TRAJES DE BAÃ‘O MUJER
0001,32    ,000031,TRAJES DE BAÃ‘O MUJER
0001,32    ,000032,TRAJES DE BAÃ‘O MUJER
0001,32    ,000033,TRAJES DE BAÃ‘O MUJER
0001,32    ,000034,TRAJES DE BAÃ‘O MUJER
0001,32    ,000035,TRAJES DE BAÃ‘O MUJER
0001,32    ,000036,TRAJES DE BAÃ‘O MUJER
0001,32    ,000037,TRAJES DE BAÃ‘O MUJER
0001,32    ,000038,TRAJES DE BAÃ‘O MUJER
0001,32    ,000039,TRAJES DE BAÃ‘O MUJER
0001,32    ,000040,TRAJES DE BAÃ‘O MUJER
0001,32    ,000041,TRAJES DE BAÃ‘O MUJER
0001,32    ,000042,TRAJES DE BAÃ‘O MUJER
0001,35    ,000022,ACCESORIOS PARA HOMBRES
0001,35    ,000023,ACCESORIOS PARA HOMBRES
0001,35    ,000024,ACCESORIOS PARA HOMBRES
0001,35    ,000025,ACCESORIOS PARA HOMBRES
0001,35    ,000026,ACCESORIOS PARA HOMBRES
0001,35    ,000027,ACCESORIOS PARA HOMBRES
0001,35    ,000028,ACCESORIOS PARA HOMBRES
0001,35    ,000031,ACCESORIOS PARA HOMBRES
0001,35    ,000032,ACCESORIOS PARA HOMBRES
0001,35    ,000033,ACCESORIOS PARA HOMBRES
0001,35    ,000034,ACCESORIOS PARA HOMBRES
0001,35    ,000035,ACCESORIOS PARA HOMBRES
0001,35    ,000036,ACCESORIOS PARA HOMBRES
0001,35    ,000037,ACCESORIOS PARA HOMBRES
0001,35    ,000038,ACCESORIOS PARA HOMBRES
0001,35    ,000039,ACCESORIOS PARA HOMBRES
0001,35    ,000040,ACCESORIOS PARA HOMBRES
0001,35    ,000041,ACCESORIOS PARA HOMBRES
0001,35    ,000042,ACCESORIOS PARA HOMBRES
0001,36    ,000022,SOMBRILLAS
0001,36    ,000023,SOMBRILLAS
0001,36    ,000024,SOMBRILLAS
0001,36    ,000025,SOMBRILLAS
0001,36    ,000026,SOMBRILLAS
0001,36    ,000027,SOMBRILLAS
0001,36    ,000028,SOMBRILLAS
0001,36    ,000031,SOMBRILLAS
0001,36    ,000032,SOMBRILLAS
0001,36    ,000033,SOMBRILLAS
0001,36    ,000034,SOMBRILLAS
0001,36    ,000035,SOMBRILLAS
0001,36    ,000036,SOMBRILLAS
0001,36    ,000037,SOMBRILLAS
0001,36    ,000038,SOMBRILLAS
0001,36    ,000039,SOMBRILLAS
0001,36    ,000040,SOMBRILLAS
0001,36    ,000041,SOMBRILLAS
0001,36    ,000042,SOMBRILLAS
0001,37    ,000022,TENNIS PARA HOMBRES
0001,37    ,000023,TENNIS PARA HOMBRES
0001,37    ,000024,TENNIS PARA HOMBRES
0001,37    ,000025,TENNIS PARA HOMBRES
0001,37    ,000026,TENNIS PARA HOMBRES
0001,37    ,000027,TENNIS PARA HOMBRES
0001,37    ,000028,TENNIS PARA HOMBRES
0001,37    ,000031,TENNIS PARA HOMBRES
0001,37    ,000032,TENNIS PARA HOMBRES
0001,37    ,000033,TENNIS PARA HOMBRES
0001,37    ,000034,TENNIS PARA HOMBRES
0001,37    ,000035,TENNIS PARA HOMBRES
0001,37    ,000036,TENNIS PARA HOMBRES
0001,37    ,000037,TENNIS PARA HOMBRES
0001,37    ,000038,TENNIS PARA HOMBRES
0001,37    ,000039,TENNIS PARA HOMBRES
0001,37    ,000040,TENNIS PARA HOMBRES
0001,37    ,000041,TENNIS PARA HOMBRES
0001,37    ,000042,TENNIS PARA HOMBRES
0001,38    ,000022,CONJ.DEPORT HB
0001,38    ,000023,CONJ.DEPORT HB
0001,38    ,000024,CONJ.DEPORT HB
0001,38    ,000025,CONJ.DEPORT HB
0001,38    ,000026,CONJ.DEPORT HB
0001,38    ,000027,CONJ.DEPORT HB
0001,38    ,000028,CONJ.DEPORT HB
0001,38    ,000031,CONJ.DEPORT HB
0001,38    ,000032,CONJ.DEPORT HB
0001,38    ,000033,CONJ.DEPORT HB
0001,38    ,000034,CONJ.DEPORT HB
0001,38    ,000035,CONJ.DEPORT HB
0001,38    ,000036,CONJ.DEPORT HB
0001,38    ,000037,CONJ.DEPORT HB
0001,38    ,000038,CONJ.DEPORT HB
0001,38    ,000039,CONJ.DEPORT HB
0001,38    ,000040,CONJ.DEPORT HB
0001,38    ,000041,CONJ.DEPORT HB
0001,38    ,000042,CONJ.DEPORT HB
0001,39    ,000022,PANTALONES DEPORTIVOS
0001,39    ,000023,PANTALONES DEPORTIVOS
0001,39    ,000024,PANTALONES DEPORTIVOS
0001,39    ,000025,PANTALONES DEPORTIVOS
0001,39    ,000026,PANTALONES DEPORTIVOS
0001,39    ,000027,PANTALONES DEPORTIVOS
0001,39    ,000028,PANTALONES DEPORTIVOS
0001,39    ,000031,PANTALONES DEPORTIVOS
0001,39    ,000032,PANTALONES DEPORTIVOS
0001,39    ,000033,PANTALONES DEPORTIVOS
0001,39    ,000034,PANTALONES DEPORTIVOS
0001,39    ,000035,PANTALONES DEPORTIVOS
0001,39    ,000036,PANTALONES DEPORTIVOS
0001,39    ,000037,PANTALONES DEPORTIVOS
0001,39    ,000038,PANTALONES DEPORTIVOS
0001,39    ,000039,PANTALONES DEPORTIVOS
0001,39    ,000040,PANTALONES DEPORTIVOS
0001,39    ,000041,PANTALONES DEPORTIVOS
0001,39    ,000042,PANTALONES DEPORTIVOS
0001,40    ,000022,RUNWAY
0001,40    ,000023,RUNWAY
0001,40    ,000024,RUNWAY
0001,40    ,000025,RUNWAY
0001,40    ,000026,RUNWAY
0001,40    ,000027,RUNWAY
0001,40    ,000028,RUNWAY
0001,40    ,000031,RUNWAY
0001,40    ,000032,RUNWAY
0001,40    ,000033,RUNWAY
0001,40    ,000034,RUNWAY
0001,40    ,000035,RUNWAY
0001,40    ,000036,RUNWAY
0001,40    ,000037,RUNWAY
0001,40    ,000038,RUNWAY
0001,40    ,000039,RUNWAY
0001,40    ,000040,RUNWAY
0001,40    ,000041,RUNWAY
0001,40    ,000042,RUNWAY
0001,41    ,000022,PAÃ‘UELOS
0001,41    ,000023,PAÃ‘UELOS
0001,41    ,000024,PAÃ‘UELOS
0001,41    ,000025,PAÃ‘UELOS
0001,41    ,000026,PAÃ‘UELOS
0001,41    ,000027,PAÃ‘UELOS
0001,41    ,000028,PAÃ‘UELOS
0001,41    ,000031,PAÃ‘UELOS
0001,41    ,000032,PAÃ‘UELOS
0001,41    ,000033,PAÃ‘UELOS
0001,41    ,000034,PAÃ‘UELOS
0001,41    ,000035,PAÃ‘UELOS
0001,41    ,000036,PAÃ‘UELOS
0001,41    ,000037,PAÃ‘UELOS
0001,41    ,000038,PAÃ‘UELOS
0001,41    ,000039,PAÃ‘UELOS
0001,41    ,000040,PAÃ‘UELOS
0001,41    ,000041,PAÃ‘UELOS
0001,41    ,000042,PAÃ‘UELOS
0001,15    ,000022,CAMISAS DE HOMBRE
0001,66    ,000023,EJEMPLO
0001,1     ,000023,PRODUCTOS DAC-EASY
0001,1     ,555   ,PRUEBA
0001,000001,000001,SUB DEPARTAMENTO 01
0001,111   ,222   ,GASTO DEL SISTEMA OPERATIVO
0001,1     ,000022,PRODUCTOS DAC-EASY
0001,1     ,000024,PRODUCTOS DAC-EASY
0001,1     ,000025,PRODUCTOS DAC-EASY
0001,1     ,000026,PRODUCTOS DAC-EASY
0001,1     ,000027,PRODUCTOS DAC-EASY
0001,1     ,000028,PRODUCTOS DAC-EASY
0001,1     ,000031,PRODUCTOS DAC-EASY
0001,1     ,000032,PRODUCTOS DAC-EASY
0001,1     ,000033,PRODUCTOS DAC-EASY
0001,1     ,000034,PRODUCTOS DAC-EASY
0001,1     ,000035,PRODUCTOS DAC-EASY
0001,1     ,000036,PRODUCTOS DAC-EASY
0001,1     ,000037,PRODUCTOS DAC-EASY
0001,1     ,000038,PRODUCTOS DAC-EASY
0001,1     ,000039,PRODUCTOS DAC-EASY
0001,1     ,000040,PRODUCTOS DAC-EASY
0001,1     ,000041,PRODUCTOS DAC-EASY
0001,1     ,000042,PRODUCTOS DAC-EASY
0001,2     ,000022,ZAPATOS DE HOMBRE
0001,2     ,000023,ZAPATOS DE HOMBRE
0001,2     ,000024,ZAPATOS DE HOMBRE
0001,2     ,000025,ZAPATOS DE HOMBRE
0001,2     ,000026,ZAPATOS DE HOMBRE
0001,2     ,000027,ZAPATOS DE HOMBRE
0001,2     ,000028,ZAPATOS DE HOMBRE
0001,2     ,000031,ZAPATOS DE HOMBRE
0001,2     ,000032,ZAPATOS DE HOMBRE
0001,2     ,000033,ZAPATOS DE HOMBRE
0001,2     ,000034,ZAPATOS DE HOMBRE
0001,2     ,000035,ZAPATOS DE HOMBRE
0001,2     ,000036,ZAPATOS DE HOMBRE
0001,2     ,000037,ZAPATOS DE HOMBRE
0001,2     ,000038,ZAPATOS DE HOMBRE
0001,2     ,000039,ZAPATOS DE HOMBRE
0001,2     ,000040,ZAPATOS DE HOMBRE
0001,2     ,000041,ZAPATOS DE HOMBRE
0001,2     ,000042,ZAPATOS DE HOMBRE
0001,3     ,000022,ZAPATOS DE MUJER
0001,3     ,000023,ZAPATOS DE MUJER
0001,3     ,000024,ZAPATOS DE MUJER
0001,3     ,000025,ZAPATOS DE MUJER
0001,3     ,000026,ZAPATOS DE MUJER
0001,3     ,000027,ZAPATOS DE MUJER
0001,3     ,000028,ZAPATOS DE MUJER
0001,3     ,000031,ZAPATOS DE MUJER
0001,3     ,000032,ZAPATOS DE MUJER
0001,3     ,000033,ZAPATOS DE MUJER
0001,3     ,000034,ZAPATOS DE MUJER
0001,3     ,000035,ZAPATOS DE MUJER
0001,3     ,000036,ZAPATOS DE MUJER
0001,3     ,000037,ZAPATOS DE MUJER
0001,3     ,000038,ZAPATOS DE MUJER
0001,3     ,000039,ZAPATOS DE MUJER
0001,3     ,000040,ZAPATOS DE MUJER
0001,3     ,000041,ZAPATOS DE MUJER
0001,3     ,000042,ZAPATOS DE MUJER
0001,4     ,000022,JEANS DE MUJER
0001,4     ,000023,JEANS DE MUJER
0001,4     ,000024,JEANS DE MUJER
0001,4     ,000025,JEANS DE MUJER
0001,4     ,000026,JEANS DE MUJER
0001,4     ,000027,JEANS DE MUJER
0001,4     ,000028,JEANS DE MUJER
0001,4     ,000031,JEANS DE MUJER
0001,4     ,000032,JEANS DE MUJER
0001,4     ,000033,JEANS DE MUJER
0001,4     ,000034,JEANS DE MUJER
0001,4     ,000035,JEANS DE MUJER
0001,4     ,000036,JEANS DE MUJER
0001,4     ,000037,JEANS DE MUJER
0001,4     ,000038,JEANS DE MUJER
0001,4     ,000039,JEANS DE MUJER
0001,4     ,000040,JEANS DE MUJER
0001,4     ,000041,JEANS DE MUJER
0001,4     ,000042,JEANS DE MUJER
0001,5     ,000022,JEANS DE HOMBRE
0001,5     ,000023,JEANS DE HOMBRE
0001,5     ,000024,JEANS DE HOMBRE
0001,5     ,000025,JEANS DE HOMBRE
0001,5     ,000026,JEANS DE HOMBRE
0001,5     ,000027,JEANS DE HOMBRE
0001,5     ,000028,JEANS DE HOMBRE
0001,5     ,000031,JEANS DE HOMBRE
0001,5     ,000032,JEANS DE HOMBRE
0001,5     ,000033,JEANS DE HOMBRE
0001,5     ,000034,JEANS DE HOMBRE
0001,5     ,000035,JEANS DE HOMBRE
0001,5     ,000036,JEANS DE HOMBRE
0001,5     ,000037,JEANS DE HOMBRE
0001,5     ,000038,JEANS DE HOMBRE
0001,5     ,000039,JEANS DE HOMBRE
0001,5     ,000040,JEANS DE HOMBRE
0001,5     ,000041,JEANS DE HOMBRE
0001,5     ,000042,JEANS DE HOMBRE
0001,6     ,000022,SHORTS DE MUJER
0001,6     ,000023,SHORTS DE MUJER
0001,6     ,000024,SHORTS DE MUJER
0001,6     ,000025,SHORTS DE MUJER
0001,6     ,000026,SHORTS DE MUJER
0001,6     ,000027,SHORTS DE MUJER
0001,6     ,000028,SHORTS DE MUJER
0001,6     ,000031,SHORTS DE MUJER
0001,6     ,000032,SHORTS DE MUJER
0001,6     ,000033,SHORTS DE MUJER
0001,6     ,000034,SHORTS DE MUJER
0001,6     ,000035,SHORTS DE MUJER
0001,6     ,000036,SHORTS DE MUJER
0001,6     ,000037,SHORTS DE MUJER
0001,6     ,000038,SHORTS DE MUJER
